,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,barbonbkk,,,,,,,,,,,,,,,,,,
1,kaleighgurlprof,chillin,habeneromargarita,hisandhers,40,chicity,birthdaybehavior,bourbonrootbeer,happyhour,,,,,,,,,,
2,neworleansfresh,festcola,greekyogurt,bourbonrootbeer,chicken,tikkapaste,blogger,lillypulitzer,cooking,pilaf,neworleansfresh,food,lentils,garlic,cilantro,pinkcolony,salt,basmatirice,turmic
3,ma.ma.mar,cancancocktails,bourbonrootbeer,,,,,,,,,,,,,,,,
4,alliecat922,bourbonrootbeer,,,,,,,,,,,,,,,,,
5,jessicamacias13,itsmyweekend,bourbonrootbeer,oysters,happyhour,,,,,,,,,,,,,,
6,jj_fraser10,lumberjackcody,browntown,danbury,bourbonrootbeer,,,,,,,,,,,,,,
7,bourbonbabes,visitsacramento,whiskeywomen,booze,bourbonrootbeer,whiskey,cancancocktails,cannedcocktails,bourbonbabe,bourbon,bourbonbabes,sacbourbonbabes,midtownsac,rootbeer,babe,whisky,drinkwhiskey,kentuckybourbon,bourbonwhiskey
8,rhd_jrow,bourbonhouse,vacation,fedorasandmaxiskirts,nola,bourbonrootbeer,itsmybirthdaycelebration,,,,,,,,,,,,
