,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ilovevinhos,,,,,,,,,,,,,,,,,,,,,,,,
1,champagne_uk,,,,,,,,,,,,,,,,,,,,,,,,
2,oenowine on Instagra,vin,casteja,lynchmoussas,pauillac,chateau,bordeaux,wineporn,instawine,tasting,winestagram,winelover,wine,bordeauxwine,love,diner,winelovers,wineoclock,grandcruclasse,medoc,redwine,winetasting,vino,winetime,night
3,chateautamagnerussie,,,,,,,,,,,,,,,,,,,,,,,,
4,maya_lavi,,,,,,,,,,,,,,,,,,,,,,,,
5,chicago.wine.dude,,,,,,,,,,,,,,,,,,,,,,,,
6,marika_serra,football,wineevent,wine,madrid,fabiocordella,robertocarlos,florentinoperez,realmadrid,,,,,,,,,,,,,,,,
7,vinowithcristal,thanksdad,,,,,,,,,,,,,,,,,,,,,,,
8,ilquadrifogliostore,wine,vin,calosso,instawine,barbaresco,wineoclock,vino,wein,sommelier,roagna,ilquadrifogliostore,winelover,winery,redwine,drinking,winetime,winetasting,barolo,cheers,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
